"Day","Date","League","Type","Vial.of.Awakening","Vial.of.Consequence","Vial.of.Dominance","Vial.of.Fate","Vial.of.Summoning","Vial.of.the.Ritual","Vial.of.Transcendence"
1,"2019-12-13","Metamorph HC","Vial",0,0,0,0,0,0,0
2,"2019-12-14","Metamorph HC","Vial",0,0,0,0,0,0,0
3,"2019-12-15","Metamorph HC","Vial",0,0,0,0,0,0,0
4,"2019-12-16","Metamorph HC","Vial",0,0,0,0,0,0,0
5,"2019-12-17","Metamorph HC","Vial",0,0,0,0,0,0,0
6,"2019-12-18","Metamorph HC","Vial",0,0,0,0,0,0,0
7,"2019-12-19","Metamorph HC","Vial",0,0,0,0,0,0,0
8,"2019-12-20","Metamorph HC","Vial",0,0,0,0,0,0,0
9,"2019-12-21","Metamorph HC","Vial",0,0,0,0,0,0,0
10,"2019-12-22","Metamorph HC","Vial",0,0,0,0,0,0,0
11,"2019-12-23","Metamorph HC","Vial",0,0,0,0,0,0,0
12,"2019-12-24","Metamorph HC","Vial",0,0,0,0,0,0,0
13,"2019-12-25","Metamorph HC","Vial",0,0,0,0,0,0,0
14,"2019-12-26","Metamorph HC","Vial",0,0,0,0,0,0,0
15,"2019-12-27","Metamorph HC","Vial",0,0,0,0,0,0,0
16,"2019-12-28","Metamorph HC","Vial",0,0,0,0,0,0,0
17,"2019-12-29","Metamorph HC","Vial",0,0,0,0,0,0,0
18,"2019-12-30","Metamorph HC","Vial",0,0,0,0,0,0,0
19,"2019-12-31","Metamorph HC","Vial",0,0,0,0,0,0,0
20,"2020-01-01","Metamorph HC","Vial",0,0,0,0,0,0,0
21,"2020-01-02","Metamorph HC","Vial",0,0,0,0,0,0,0
22,"2020-01-03","Metamorph HC","Vial",0,0,0,0,0,0,0
23,"2020-01-04","Metamorph HC","Vial",0,0,0,0,0,0,0
24,"2020-01-05","Metamorph HC","Vial",0,0,0,0,0,0,0
25,"2020-01-06","Metamorph HC","Vial",0,0,0,0,0,0,0
26,"2020-01-07","Metamorph HC","Vial",0,0,0,0,0,0,0
27,"2020-01-08","Metamorph HC","Vial",0,0,0,0,0,0,0
28,"2020-01-09","Metamorph HC","Vial",0,0,0,0,0,0,0
29,"2020-01-10","Metamorph HC","Vial",0,0,0,0,0,0,0
30,"2020-01-11","Metamorph HC","Vial",0,0,0,0,0,0,0
31,"2020-01-12","Metamorph HC","Vial",0,0,0,0,0,0,0
32,"2020-01-13","Metamorph HC","Vial",0,0,0,0,0,0,0
33,"2020-01-14","Metamorph HC","Vial",0,0,0,0,0,0,0
34,"2020-01-15","Metamorph HC","Vial",0,0,0,0,0,0,0
35,"2020-01-16","Metamorph HC","Vial",0,0,0,0,0,0,0
36,"2020-01-17","Metamorph HC","Vial",0,0,0,0,0,0,0
37,"2020-01-18","Metamorph HC","Vial",0,0,0,0,0,0,0
38,"2020-01-19","Metamorph HC","Vial",0,0,0,0,0,0,0
39,"2020-01-20","Metamorph HC","Vial",0,0,0,0,0,0,0
40,"2020-01-21","Metamorph HC","Vial",0,0,0,0,0,0,0
41,"2020-01-22","Metamorph HC","Vial",0,0,0,0,0,0,0
42,"2020-01-23","Metamorph HC","Vial",0,0,0,0,0,0,0
43,"2020-01-24","Metamorph HC","Vial",0,0,0,0,0,0,0
44,"2020-01-25","Metamorph HC","Vial",0,0,0,0,0,0,0
45,"2020-01-26","Metamorph HC","Vial",0,0,0,0,0,0,0
46,"2020-01-27","Metamorph HC","Vial",0,0,0,0,0,0,0
47,"2020-01-28","Metamorph HC","Vial",0,0,0,0,0,0,0
48,"2020-01-29","Metamorph HC","Vial",0,0,0,0,0,0,0
49,"2020-01-30","Metamorph HC","Vial",0,0,0,0,0,0,0
50,"2020-01-31","Metamorph HC","Vial",0,0,0,0,0,0,0
51,"2020-02-01","Metamorph HC","Vial",0,0,0,0,0,0,0
52,"2020-02-02","Metamorph HC","Vial",0,0,0,0,0,0,0
53,"2020-02-03","Metamorph HC","Vial",0,0,0,0,0,0,0
54,"2020-02-04","Metamorph HC","Vial",0,0,0,0,0,0,0
55,"2020-02-05","Metamorph HC","Vial",0,0,0,0,0,0,0
56,"2020-02-06","Metamorph HC","Vial",0,0,0,0,0,0,0
57,"2020-02-07","Metamorph HC","Vial",0,0,0,0,0,0,0
58,"2020-02-08","Metamorph HC","Vial",0,0,0,0,0,0,0
59,"2020-02-09","Metamorph HC","Vial",0,0,0,0,0,0,0
60,"2020-02-10","Metamorph HC","Vial",0,0,0,0,0,0,0
61,"2020-02-11","Metamorph HC","Vial",0,0,0,0,0,0,0
62,"2020-02-12","Metamorph HC","Vial",0,0,0,0,0,0,0
63,"2020-02-13","Metamorph HC","Vial",0,0,0,0,0,0,0
64,"2020-02-14","Metamorph HC","Vial",0,0,0,0,0,0,0
65,"2020-02-15","Metamorph HC","Vial",0,0,0,0,0,0,0
66,"2020-02-16","Metamorph HC","Vial",0,0,0,0,0,0,0
67,"2020-02-17","Metamorph HC","Vial",65.01,7.2,4,2.39,40.72,4.145,8.44
68,"2020-02-18","Metamorph HC","Vial",65.01,7.65,3.82,1.43,28.88,4.65,7.83
69,"2020-02-19","Metamorph HC","Vial",0,7.65,2.9,1,19.45,3.7,8.19
70,"2020-02-20","Metamorph HC","Vial",0,7,2.87,1,8.52,3.9,8.39
71,"2020-02-21","Metamorph HC","Vial",0,7,2.71,1.04,7.18,3.9,8.462
72,"2020-02-22","Metamorph HC","Vial",0,7,2.83,1,7.97,3.92,8.36
73,"2020-02-23","Metamorph HC","Vial",0,4.68,2.81,1,21.44,4.54,8.36
74,"2020-02-24","Metamorph HC","Vial",0,4.68,2.9,1,21.44,4.55,9
75,"2020-02-25","Metamorph HC","Vial",0,4.79,2.92,1,20.07,4.55,8.36
76,"2020-02-26","Metamorph HC","Vial",0,4.9,2.9,1,20.07,4.55,8.48
77,"2020-02-27","Metamorph HC","Vial",0,4.9,3.09,1,21.44,4.78,8.48
78,"2020-02-28","Metamorph HC","Vial",0,5.03,2.98,1,20.07,4.78,8.38
79,"2020-02-29","Metamorph HC","Vial",0,4.98,2.69,1,20.07,4.78,8.38
80,"2020-03-01","Metamorph HC","Vial",0,4.98,2.8,1,20.07,4.78,8.38
81,"2020-03-02","Metamorph HC","Vial",0,3.64,2.8,1,21.44,4.78,8.49
82,"2020-03-03","Metamorph HC","Vial",62.27,3.1,2.52,1,19.15,3.75,8.22
83,"2020-03-04","Metamorph HC","Vial",61.8025,3.1,3.41,2,7.5,4.83,7.73
84,"2020-03-05","Metamorph HC","Vial",61.79,2.76,3.41,2,11.72,5,9.9
85,"2020-03-06","Metamorph HC","Vial",61.75,2.73,3.41,2,16.36,5,10.08
86,"2020-03-07","Metamorph HC","Vial",62.1,2.75,3.41,2,1,5,11.02
87,"2020-03-08","Metamorph HC","Vial",62.16,5.04,3.41,2,1,5.21,11.02
88,"2020-03-09","Metamorph HC","Vial",62.95,5.07,3.41,2,9.24,5.21,7.21
