"Date","League","Type","Vial.of.Awakening","Vial.of.Consequence","Vial.of.Dominance","Vial.of.Fate","Vial.of.Sacrifice","Vial.of.Summoning","Vial.of.the.Ghost","Vial.of.the.Ritual","Vial.of.Transcendence"
2020-02-17,"Standard","Vial",49.19625,41.4375,8,2,775.01,56.765,0,3,36.15643
2020-02-18,"Standard","Vial",90,15.9525,8,2,695,18.06,2481.91,3,40
2020-02-19,"Standard","Vial",90.45,15.23,5,2,694.4475,10,2484.1625,2,40
2020-02-20,"Standard","Vial",74.54,15,6.01,2,696.04,9.13455,6090.35,2,40
2020-02-21,"Standard","Vial",78.23,10.455,6.81,2,696.04,7.81,2489.06,2,40
2020-02-22,"Standard","Vial",80,12.81351,7,2,696.04,10,2488.34,2,40
2020-02-23,"Standard","Vial",90,13.3805,6.89,2,696.64,10,2484.05,2,39.04
2020-02-24,"Standard","Vial",90,12.94,6.01,2,699.84,9.57,2501.93,2,39.36515
2020-02-25,"Standard","Vial",80,14.21,7,2,701.16,7.32,2503.0025,2,39.32
2020-02-26,"Standard","Vial",80,14.43,7,2,725.385,8,2505.825,2,38.04
2020-02-27,"Standard","Vial",80,14.46,7.85,2,766.43571,5,2101.68,2,36.88121
2020-02-28,"Standard","Vial",80,13.62,6.66,2,768.03,5.37739,2101.68,2,32.52202
2020-02-29,"Standard","Vial",80,10,7,2,768.12,4,2101.92,2,35.01
2020-03-01,"Standard","Vial",80,10.17,7.79,2,767.46,4,2100.12,2,35
2020-03-02,"Standard","Vial",80,10,7.9,2,779.754,4,2104.512,2,35
2020-03-03,"Standard","Vial",79.63,10,7.63,2,753.07,4,2105.52,2,38.5802
2020-03-04,"Standard","Vial",76.68,10,5,2,745.83,4,2119.02,1.82,38.87
2020-03-05,"Standard","Vial",75.28,10,5,2,886.1,3.86,2126.4,1.78,38.66
2020-03-06,"Standard","Vial",65.05,10,5,2,869.29091,3.3,2129.43,2,39.05
2020-03-07,"Standard","Vial",75.55,10,5,2,814.66,3.66,2140.08,2,36.78
2020-03-08,"Standard","Vial",77.02,10,4.66,2,860.235,4,3423.06,1.54,31.71
2020-03-09,"Standard","Vial",61.95,10,4.96,1.97908,891.7,4,3423.06,1.93,30
